datetime,q_kfz_mq_hr,v_kfz_mq_hr,"Feinstaub (PM2,5)",LUFTTEMPERATUR,REL_FEUCHTE,NIEDERSCHLAGSHOEHE,WINDGESCHWINDIGKEIT,SONNENSCHEINDAUER,mean_q,min_q,max_q,std_q,skew_q,kurt_q,mean_v,min_v,max_v,std_v,skew_v,kurt_v,q_kfz_lag1,q_kfz_lag2,q_kfz_lag3,q_kfz_lag6,q_kfz_lag12,q_kfz_lag24,v_kfz_lag1,v_kfz_lag2,v_kfz_lag3,v_kfz_lag6,v_kfz_lag12,v_kfz_lag24,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,winddir_cos,winddir_sin
2022-09-14 10:00:00,1250.0,43.0,12.0,17.4,59.0,0.0,3.8,15.0,641.0051546391752,37.0,1935.0,330.24491614028597,0.4738205414331607,0.7911507761861163,41.52577319587629,6.0,84.0,10.853802641585588,-0.12651380631340897,1.6968836890481467,1212.0,1242.6666666666667,1273.3333333333333,207.0,330.0,1314.25,47.0,54.33333333333333,61.666666666666664,63.0,51.0,56.0,0.3984010898462418,-0.9172113015054528,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.342020143325669,-0.9396926207859083
2022-09-14 11:00:00,1061.0,47.0,11.0,18.3,56.0,0.0,4.4,23.0,646.28125,33.0,2021.0,328.0756426353165,0.4661057779448503,1.1198091133307337,42.15625,6.0,87.0,11.318176203145319,-0.041131790058177145,1.5071200331549632,1250.0,1212.0,1242.6666666666667,682.0,212.0,1260.0,43.0,47.0,54.33333333333333,61.0,54.0,54.0,0.13616664909624665,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.17364817766692997,-0.9848077530122081
2022-09-14 12:00:00,1136.0,51.0,8.0,18.8,56.0,0.0,4.0,26.0,674.1752577319587,38.0,1959.0,341.24458310519435,0.43208335124749664,0.6962401073673936,42.05670103092783,3.0,93.0,11.503632291576071,0.09159033056784859,2.478334906119007,1061.0,1250.0,1212.0,1304.0,119.0,937.0,47.0,43.0,47.0,69.0,46.0,43.0,-0.1361666490962464,-0.9906859460363308,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.342020143325669,-0.9396926207859083
2022-09-14 13:00:00,1148.0,47.0,9.0,18.2,57.0,0.0,3.8,4.0,681.4574468085107,37.0,1826.0,336.30572941014265,0.326874940428608,0.39596320980850397,42.297872340425535,3.0,84.0,10.949890520033897,-0.1343974994522171,1.4922616278628258,1136.0,1061.0,1250.0,1273.3333333333333,90.5,1142.0,51.0,47.0,43.0,61.666666666666664,49.0,47.0,-0.3984010898462412,-0.9172113015054532,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.17364817766692997,-0.9848077530122081
2022-09-14 14:00:00,1163.0,43.0,10.0,18.5,58.0,0.0,4.2,24.0,738.8911917098445,20.0,2337.0,392.1459969077334,0.5052480441396267,0.9796863649466938,41.16580310880829,3.0,83.0,12.126652443352421,0.06989914182381092,0.8673452073715948,1148.0,1136.0,1061.0,1242.6666666666667,62.0,1192.0,47.0,51.0,47.0,54.33333333333333,52.0,46.0,-0.6310879443260528,-0.7757112907044198,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.0
2022-09-14 15:00:00,1185.0,48.0,8.0,18.2,56.0,0.0,4.5,0.0,798.5846153846154,24.0,2603.0,414.5787040164379,0.5260769502221648,1.3457781407970426,41.21025641025641,2.0,92.0,12.027969870774758,0.18623826588778816,1.8899662554877672,1163.0,1148.0,1136.0,1212.0,134.5,1200.0,43.0,47.0,51.0,47.0,57.5,47.0,-0.816969893010442,-0.5766803221148672,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.17364817766692997,-0.9848077530122081
2022-09-14 16:00:00,1193.0,51.0,12.0,17.9,56.0,0.0,4.4,0.0,788.4901960784314,17.0,2694.0,426.112666825944,0.5745849214258777,1.4750196697072844,40.627450980392155,4.0,77.0,11.807504976330016,0.026273638793860812,1.0894378107376874,1185.0,1163.0,1148.0,1250.0,207.0,1113.5,48.0,43.0,47.0,43.0,63.0,49.0,-0.9422609221188204,-0.3348796121709864,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-14 17:00:00,1124.0,52.0,10.0,17.6,59.0,0.0,3.8,0.0,761.7939698492462,29.0,2382.0,400.8920139291134,0.5170408570172108,1.1898841136976799,41.58291457286432,5.0,88.0,11.189457048405876,0.17788788972917283,1.843716472209203,1193.0,1185.0,1163.0,1061.0,682.0,1027.0,51.0,48.0,43.0,47.0,61.0,51.0,-0.9976687691905392,-0.06824241336467135,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,0.342020143325669,-0.9396926207859083
2022-09-14 18:00:00,1031.0,50.0,10.0,17.0,61.0,0.0,3.6,0.0,716.6915422885572,37.0,2469.0,392.84967147511964,0.8405208706224279,2.235900814457768,42.54228855721393,5.0,94.0,11.310590291241143,0.17250285261194068,2.1704121748036664,1124.0,1193.0,1185.0,1136.0,1304.0,1053.0,52.0,51.0,48.0,51.0,69.0,46.0,-0.979084087682323,0.2034560130526333,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.0
2022-09-14 19:00:00,788.0,56.0,13.0,17.0,67.0,0.0,3.1,0.0,590.0979381443299,28.0,1658.0,318.54021910496095,0.5580900429239036,0.49819541427693537,42.865979381443296,8.0,87.0,10.90479655454176,-0.013912543636327074,1.4950670233239172,1031.0,1124.0,1193.0,1148.0,1273.3333333333333,803.0,50.0,52.0,51.0,47.0,61.666666666666664,48.0,-0.8878852184023756,0.4600650377311516,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,-0.34202014332566855,-0.9396926207859084
